director_actor,movie_count
Richard Finn/Alan Marriott,1
Richard Finn/Andrew Toth,1
Richard Finn/Brian Dobson,1
Richard Finn/Cole Howard,1
Richard Finn/Jennifer Cameron,1
Richard Finn/Jonathan Holmes,1
Richard Finn/Lee Tockar,1
Richard Finn/Lisa Durupt,1
Richard Finn/Maya Kay,1
Richard Finn/Michael Dobson,1
Tim Maltby/Alan Marriott,2
Tim Maltby/Andrew Toth,2
Tim Maltby/Brian Dobson,1
Tim Maltby/Cole Howard,2
Tim Maltby/Jennifer Cameron,2
Tim Maltby/Jonathan Holmes,1
Tim Maltby/Lee Tockar,2
Tim Maltby/Lisa Durupt,1
Tim Maltby/Maya Kay,2
Tim Maltby/Michael Dobson,1
Fernando Lebrija/Nesta Cooper,1
Fernando Lebrija/Kate Walsh,1
Fernando Lebrija/John Michael Higgins,1
Fernando Lebrija/Keith Powers,1
Fernando Lebrija/Alicia Sanz,1
Fernando Lebrija/Jake Borelli,1
Fernando Lebrija/Kid Ink,1
Fernando Lebrija/Yousef Erakat,1
Fernando Lebrija/Rebekah Graf,1
Fernando Lebrija/Anne Winters,1
Fernando Lebrija/Peter Gilroy,1
Fernando Lebrija/Patrick Davis,1
Gabe Ibáñez/Antonio Banderas,1
Gabe Ibáñez/Dylan McDermott,1
Gabe Ibáñez/Melanie Griffith,1
Gabe Ibáñez/Birgitte Hjort Sørensen,1
Gabe Ibáñez/Robert Forster,1
Gabe Ibáñez/Christa Campbell,1
Gabe Ibáñez/Tim McInnerny,1
Gabe Ibáñez/Andy Nyman,1
Gabe Ibáñez/David Ryall,1
Rodrigo Toro/Fabrizio Copano,1
Francisco Schultz/Fabrizio Copano,1
Henrik Ruben Genz/James Franco,1
Henrik Ruben Genz/Kate Hudson,1
Henrik Ruben Genz/Tom Wilkinson,1
Henrik Ruben Genz/Omar Sy,1
Henrik Ruben Genz/Sam Spruell,1
Henrik Ruben Genz/Anna Friel,1
Henrik Ruben Genz/Thomas Arnold,1
Henrik Ruben Genz/Oliver Dimsdale,1
Henrik Ruben Genz/Diana Hardcastle,1
Henrik Ruben Genz/Michael Jibson,1
Henrik Ruben Genz/Diarmaid Murtagh,1
José Miguel Contreras/Joaquín Reyes,1
Daniel Alfredson/Jim Sturgess,1
Daniel Alfredson/Sam Worthington,1
Daniel Alfredson/Ryan Kwanten,1
Daniel Alfredson/Anthony Hopkins,2
Daniel Alfredson/Mark van Eeuwen,1
Daniel Alfredson/Thomas Cocquerel,1
Daniel Alfredson/Jemima West,1
Daniel Alfredson/David Dencik,1
Munjal Shroff/Damandeep Singh Baggan,3
Munjal Shroff/Smita Malhotra,3
Munjal Shroff/Baba Sehgal,2
Munjal Shroff/Deepak Chachra,2
Tilak Shetty/Damandeep Singh Baggan,4
Tilak Shetty/Smita Malhotra,6
Tilak Shetty/Baba Sehgal,3
Tilak Shetty/Deepak Chachra,4
Tilak Shetty/Rishi Gambhir,1
Gaspar Noé/Karl Glusman,1
Gaspar Noé/Klara Kristin,1
Gaspar Noé/Aomi Muyock,1
Gaspar Noé/Ugo Fox,1
Gaspar Noé/Juan Saavedra,1
Gaspar Noé/Gaspar Noé,1
Gaspar Noé/Isabelle Nicou,1
Gaspar Noé/Benoît Debie,1
Gaspar Noé/Vincent Maraval,1
Gaspar Noé/Déborah Révy,1
Tom O'Brien/Tom O'Brien,1
Tom O'Brien/Katherine Waterston,1
Tom O'Brien/Caitlin Fitzgerald,1
Tom O'Brien/Gaby Hoffmann,1
Tom O'Brien/Louis Cancelmi,1
Tom O'Brien/Zach Grenier,1
Antoine Bardou-Jacquet/Ron Perlman,1
Antoine Bardou-Jacquet/Rupert Grint,1
Antoine Bardou-Jacquet/Robert Sheehan,1
Antoine Bardou-Jacquet/Stephen Campbell Moore,1
Antoine Bardou-Jacquet/Eric Lampaert,1
Antoine Bardou-Jacquet/Kevin Bishop,1
Antoine Bardou-Jacquet/Tom Audenaert,1
Antoine Bardou-Jacquet/Erika Sainte,1
Brad Anderson/Kate Beckinsale,1
Brad Anderson/Jim Sturgess,1
Brad Anderson/David Thewlis,1
Brad Anderson/Brendan Gleeson,1
Brad Anderson/Ben Kingsley,1
Brad Anderson/Michael Caine,1
Brad Anderson/Jason Flemyng,1
Brad Anderson/Sophie Kennedy Clark,1
Brad Anderson/Sinéad Cusack,1
Brad Anderson/Edmund Kingsley,1
Austin Stark/Nicolas Cage,1
Austin Stark/Sarah Paulson,1
Austin Stark/Connie Nielsen,1
Austin Stark/Wendell Pierce,1
Austin Stark/Bryan Batt,1
Austin Stark/Peter Fonda,1
Austin Stark/Dana Gourrier,1
Hannah Fidell/Taissa Farmiga,1
Hannah Fidell/Ben Rosenfield,1
Hannah Fidell/Lindsay Burdge,1
Hannah Fidell/Joshua Leonard,1
Hannah Fidell/Jennifer Lafleur,1
Hannah Fidell/Peter Vack,1
Hannah Fidell/Dana Wheeler-Nicholson,1
Hannah Fidell/Jason Newman,1
Hannah Fidell/Molly McMichael,1
Sopon Sukdapisit/Saharat Sangkapreecha,1
Sopon Sukdapisit/Pok Piyatida Woramusik,1
Sopon Sukdapisit/Sutatta Udomsilp,1
Sopon Sukdapisit/Athipich Chutiwatkajornchai,1
Sopon Sukdapisit/Deuntem Salitul,1
Sopon Sukdapisit/Sahajak Boonthanakit,1
Kevin R. Adams/John Krasinski,1
Kevin R. Adams/Charlyne Yi,1
Kevin R. Adams/Jason Sudeikis,1
Kevin R. Adams/Michael Peña,1
Kevin R. Adams/David Cross,1
Kevin R. Adams/Constance Wu,1
Joe Ksander/John Krasinski,1
Joe Ksander/Charlyne Yi,1
Joe Ksander/Jason Sudeikis,1
Joe Ksander/Michael Peña,1
Joe Ksander/David Cross,1
Joe Ksander/Constance Wu,1
Ian Samuels/Shannon Purser,1
Ian Samuels/Kristine Froseth,1
Ian Samuels/RJ Cyler,1
Ian Samuels/Noah Centineo,1
Ian Samuels/Loretta Devine,1
Ian Samuels/Giorgia Whigham,1
Ian Samuels/Alice Lee,1
Ian Samuels/Lea Thompson,1
Ian Samuels/Alan Ruck,1
Ian Samuels/Mary Pat Gleason,1
Ian Samuels/Chrissy Metz,1
Franck Ribière/Anna Mouglalis,1
Franck Ribière/Niels Schneider,1
Franck Ribière/André Wilms,1
Franck Ribière/Michel Fau,1
Franck Ribière/Sissi Duparc,1
Franck Ribière/Jean-Michel Balthazar,1
Franck Ribière/Julie Recoing,1
Franck Ribière/Eric Godon,1
Franck Ribière/Maya Coline,1
Franck Ribière/Constance Dollé,1
Daniele Thompson/Guillaume Canet,1
Daniele Thompson/Guillaume Gallienne,1
Daniele Thompson/Alice Pol,1
Daniele Thompson/Déborah François,1
Daniele Thompson/Sabine Azéma,1
Daniele Thompson/Freya Mavor,1
Daniele Thompson/Isabelle Candelier,1
Daniele Thompson/Laurent Stocker,1
Anubhav Sinha/Ayushmann Khurrana,1
Anubhav Sinha/Nassar,1
Anubhav Sinha/Manoj Pahwa,1
Anubhav Sinha/Kumud Mishra,1
Anubhav Sinha/Isha Talwar,1
Anubhav Sinha/Sayani Gupta,1
Anubhav Sinha/Mohammed Zeeshan Ayyub,1
Anubhav Sinha/Subhrajyoti Barat,1
Anubhav Sinha/Sushil Pandey,1
Anubhav Sinha/Aakash Dabhade,1
Maha Venkatesh/Subba Rao Vepada,1
Maha Venkatesh/Radha Bessy,1
Maha Venkatesh/Kesava Karri,1
Maha Venkatesh/Nithyasri Goru,1
Maha Venkatesh/Karthik Rathnam,1
Maha Venkatesh/Praneetha Patnaik,1
Maha Venkatesh/Mohan Bhagath,1
Maha Venkatesh/Praveena Paruchuri,1
Tharun Bhascker/Vishwaksen Naidu,1
Tharun Bhascker/Sushanth Reddy,1
Tharun Bhascker/Abhinav Gomatam,1
Tharun Bhascker/Venkatesh Kakumanu,1
Tharun Bhascker/Anisha Ambrose,1
Tharun Bhascker/Simran Choudhary,1
Şenol Sönmez/Murat Boz,1
Şenol Sönmez/Seda Bakan,1
Şenol Sönmez/Açelya Topaloğlu,1
Şenol Sönmez/Özgür Emre Yıldırım,1
Şenol Sönmez/Seda Güven,1
Şenol Sönmez/Yosi Mizrahi,1
Şenol Sönmez/Dilşad Şimşek,1
Şenol Sönmez/Ali Yoğurtçuoğlu,1
Tom Gianas/Nick Swardson,1
Tom Gianas/Mila Kunis,1
Tom Gianas/Bob Odenkirk,1
Tom Gianas/T.J. Miller,1
Tom Gianas/Rob Riggle,1
Tom Gianas/Susan Sarandon,1
Tom Gianas/Danny McBride,1
Tom Gianas/Jennifer Coolidge,1
Tom Gianas/John Farley,1
Tom Gianas/Maria Bamford,1
Ross R. Shuman/Nick Swardson,1
Ross R. Shuman/Mila Kunis,1
Ross R. Shuman/Bob Odenkirk,1
Ross R. Shuman/T.J. Miller,1
Ross R. Shuman/Rob Riggle,1
Ross R. Shuman/Susan Sarandon,1
Ross R. Shuman/Danny McBride,1
Ross R. Shuman/Jennifer Coolidge,1
Ross R. Shuman/John Farley,1
Ross R. Shuman/Maria Bamford,1
Rajkumar Hirani/Aamir Khan,2
Rajkumar Hirani/Anuskha Sharma,1
Rajkumar Hirani/Sanjay Dutt,1
Rajkumar Hirani/Saurabh Shukla,1
Rajkumar Hirani/Parikshat Sahni,1
Rajkumar Hirani/Sushant Singh Rajput,1
Rajkumar Hirani/Boman Irani,3
Rajkumar Hirani/Rukhsar,1
Robert Osman/Nathanael Wiseman,1
Robert Osman/Mem Ferda,1
Robert Osman/Alexandra Newick,1
Robert Osman/Oliver Stark,1
Robert Osman/Kat Gellin,1
Robert Osman/Andy Lucas,1
Robert Osman/Ralph Brown,1
Robert Osman/Beverly Hills,1
Nathanael Wiseman/Nathanael Wiseman,1
Nathanael Wiseman/Mem Ferda,1
Nathanael Wiseman/Alexandra Newick,1
Nathanael Wiseman/Oliver Stark,1
Nathanael Wiseman/Kat Gellin,1
Nathanael Wiseman/Andy Lucas,1
Nathanael Wiseman/Ralph Brown,1
Nathanael Wiseman/Beverly Hills,1
Jon Spira/Paul Blake,1
